AGE,credit_limit,utilization,late_payments,default,predicted_prob
24,20000,0.19565,2,1,0.8241607521826935
26,120000,0.02235,2,1,0.5384798785684787
34,90000,0.32487777777777777,0,0,0.26548427808024117
37,50000,0.9398,0,0,0.37997967075217176
57,50000,0.17234,0,0,0.18737153998617642
37,50000,1.0,0,0,0.3823946674937914
29,500000,0.73593,0,0,0.16254945532915488
23,100000,0.11876,0,0,0.3320624416285266
28,140000,0.08060714285714286,1,0,0.4981939882034927
35,20000,0.0,0,0,0.2867452891839865
34,200000,0.055365,1,0,0.45664023032278966
51,260000,0.04715769230769231,1,0,0.2914955407369631
41,630000,0.019265079365079363,0,0,0.20166777301202646
30,70000,0.9400285714285714,4,1,0.7811146622693016
29,250000,0.283548,0,0,0.13082509684188798
23,50000,1.0,2,0,0.6495718788774505
24,20000,0.7688,4,1,0.7656860318111758
49,320000,0.79151875,0,0,0.18879374455458983
49,360000,0.0,1,0,0.6648388329360901
29,180000,0.0,1,0,0.6416666137225532
39,130000,0.2950615384615385,0,0,0.2126581768352598
39,120000,0.0026333333333333334,0,1,0.5361994148901307
26,70000,0.5869571428571428,4,1,0.920770062467931
40,450000,0.012248888888888889,0,1,0.3489412436979293
23,90000,0.05271111111111111,0,0,0.2480759740393351
23,50000,0.9524,0,0,0.3684491772494657
27,60000,-0.0018166666666666667,1,1,0.3996060233654842
30,50000,0.45082,0,0,0.32656474600244456
47,50000,0.013,0,0,0.30142043942997887
26,50000,0.30658,0,0,0.3248984998929973
27,230000,0.07237391304347826,0,0,0.14899173179805936
33,50000,0.61036,1,1,0.8643803703898321
32,100000,0.93036,0,0,0.29260403116424216
54,500000,0.021858,0,0,0.13395310787410156
58,500000,0.027418,0,0,0.19498754875764285
30,160000,0.18915625,0,0,0.2875554963407943
40,280000,0.6660821428571428,0,0,0.2037811024023424
22,60000,0.2509,0,0,0.30895494049355426
25,50000,0.0,1,1,0.616325344283905
31,280000,0.0017785714285714286,1,0,0.2563724947125825
33,360000,0.6074111111111111,0,0,0.23140038417974756
25,70000,0.9645857142857143,0,0,0.28831984497929175
22,10000,0.1877,0,0,0.40875057297069867
37,140000,0.4250285714285714,0,0,0.1555614548321563
30,40000,0.473175,1,0,0.4463201674202661
29,210000,0.0,0,1,0.5480679511075889
22,20000,0.7014,1,1,0.615687582659815
46,150000,0.029753333333333333,0,1,0.47566290099939984
32,380000,0.05895,0,0,0.11716997794234756
24,20000,0.87235,0,0,0.3688253369462449
42,70000,0.5291714285714286,5,1,0.8001622131025286
43,100000,0.61559,0,0,0.2393867573070111
49,310000,0.04343548387096774,0,0,0.18001782826027854
25,180000,0.2300111111111111,2,0,0.5011255632199755
29,150000,0.30816,1,0,0.8197620714563262
45,500000,0.00381,0,0,0.2732259471050177
34,180000,0.09103333333333333,0,0,0.1955388175232698
34,180000,0.9771444444444445,0,0,0.23946813042884346
34,200000,0.007935,5,0,0.5422919949343987
29,400000,1.0,0,0,0.28148651216562487
28,500000,0.045696,0,1,0.25306037211869664
39,70000,1.0,0,0,0.36599952627913773
29,50000,0.49974,6,1,0.9216277541045617
46,50000,0.57436,0,1,0.3831215361605412
51,130000,0.0007615384615384615,0,0,0.3833331546954032
57,200000,0.762595,2,1,0.40225723926707446
56,10000,0.2097,3,1,0.7307408646796669
30,210000,0.0014285714285714286,1,0,0.35410462059677267
29,130000,-0.0014615384615384616,2,0,0.24888034649243831
22,20000,0.92825,1,0,0.5843495158314993
31,80000,0.00975,0,0,0.48532080075244444
29,320000,0.182084375,6,1,0.9243829528156395
32,200000,0.04538,1,0,0.2696214059056237
37,290000,0.0,1,0,0.5022505165409299
32,340000,0.00896470588235294,0,0,0.16990694200285733
24,20000,0.73095,1,0,0.5652083757345807
25,50000,0.85676,0,0,0.3197103768196452
45,300000,0.00097,0,0,0.44697882823659607
22,30000,0.9462333333333334,0,1,0.45008316719115204
44,240000,0.0,1,1,0.6583325753857668
33,470000,0.35160425531914896,0,0,0.1425745466469318
26,360000,0.06503055555555555,0,0,0.1521049909178569
30,60000,0.4387333333333333,0,1,0.33428502542524385
44,400000,0.3289875,1,0,0.2657971534946211
49,50000,0.97818,0,0,0.3745274329139978
33,160000,0.812675,0,0,0.18382418327061575
45,360000,0.0010833333333333333,1,1,0.6267230465142754
32,160000,0.0239125,0,0,0.2749977999151483
35,130000,0.6254846153846154,0,0,0.19852713735741948
44,20000,0.42915,3,0,0.839012428200521
53,200000,0.6909,6,1,0.882530411625639
39,280000,0.02687142857142857,0,0,0.31560565625381126
27,100000,-0.02,0,0,0.3243926263236057
37,160000,0.0055,0,0,0.3983649542245552
23,60000,0.7608,0,0,0.3742780408523746
35,90000,0.9302777777777778,0,0,0.33776319470260524
43,360000,0.011019444444444445,0,0,0.16070277151712417
27,150000,0.5733933333333333,0,0,0.1750371982440247
22,50000,0.37444,0,0,0.35918289505229795
38,20000,0.89865,0,1,0.42804893863603083
32,140000,0.0048,0,0,0.3121901703408345
30,380000,-0.0002131578947368421,0,0,0.2043507221429256
63,480000,0.8793104166666666,2,0,0.22475651854410172
22,50000,0.89396,0,1,0.4063147377525671
26,60000,0.94475,5,0,0.8681562651555562
24,70000,0.07971428571428571,0,0,0.3172854616003418
36,80000,0.07635,0,0,0.2936466835861517
52,350000,0.002037142857142857,0,0,0.3213151961418203
38,130000,1.0,0,0,0.24969188552283736
35,360000,-0.0002861111111111111,1,0,0.5338572358154621
31,330000,0.32084545454545454,1,0,0.25295403823509327
47,50000,0.26488,1,0,0.5833657105370113
41,280000,0.48454642857142854,6,0,0.691302847231753
24,100000,0.52128,0,0,0.17596455174944609
41,50000,0.3803,0,0,0.34887094178418976
24,30000,0.6066333333333334,3,1,0.7920204971880316
28,240000,0.0013583333333333334,0,0,0.3394016522559625
26,80000,0.1753625,1,1,0.8648999762196378
34,400000,0.04915,0,0,0.12000583720601203
38,240000,0.20939166666666667,0,0,0.17424977105577086
37,50000,0.92008,6,1,0.90360492522582
40,450000,0.0,1,1,0.6643271246121801
48,110000,0.0,1,0,0.667015419226993
35,310000,0.983841935483871,1,1,0.8668634088441063
27,20000,0.95575,0,0,0.3996424792178047
23,20000,0.0,1,0,0.7000076779061011
52,200000,0.550755,0,0,0.20471757857701717
36,180000,0.9096444444444445,0,1,0.3948688316035025
51,50000,0.06694,0,1,0.4487382820820897
55,60000,1.0,3,0,0.7853368226387704
23,30000,0.13333333333333333,1,0,0.2728521769002634
41,240000,0.0003958333333333333,1,0,0.4838884902198363
34,420000,0.6034619047619048,0,0,0.22984974486685783
46,330000,0.6890575757575758,0,0,0.30074559629954184
22,30000,0.9484,0,0,0.3498134937850136
34,240000,0.044475,3,0,0.5368362887833915
27,150000,0.11629333333333333,0,0,0.15612559994664654
33,210000,0.03412380952380952,0,0,0.26989114383296453
51,50000,0.01504,0,1,0.46917495553790906
24,50000,1.0,0,0,0.3525732896379326
47,240000,0.0,1,1,0.6678884472518747
28,180000,0.010177777777777779,0,0,0.4174680497728418
23,50000,0.20262,4,0,0.5232721049634873
29,170000,0.07152352941176471,0,0,0.12719070209595676
29,20000,0.05995,0,0,0.3161621244778018
28,50000,0.09998,1,0,0.49786801207354126
27,170000,0.11334705882352941,0,1,0.33584773247065136
34,200000,0.98618,2,0,0.3995497644086416
23,80000,0.1146,4,0,0.6564328389792052
60,260000,-0.004230769230769231,1,0,0.3396404832641961
32,140000,0.6187642857142858,1,0,0.3869031307952793
25,80000,0.53055,0,0,0.17242618960505393
41,350000,0.0005942857142857143,1,0,0.4569045828419223
56,280000,0.745625,0,0,0.21616624874677492
26,30000,0.30046666666666666,0,0,0.3349112245500829
34,140000,0.17102857142857142,0,0,0.13712804661948516
37,200000,0.5271,0,0,0.14905866064437873
30,200000,0.980155,0,0,0.22949881891774948
45,210000,0.5513571428571429,6,1,0.639064312265334
57,50000,0.25708,2,0,0.754333976121233
41,30000,0.8119,5,0,0.890467453122411
27,50000,0.0078,2,0,0.4190763179043467
47,290000,0.004255172413793104,0,0,0.40897332186845226
34,250000,0.564892,1,0,0.30819807071365735
46,60000,0.35246666666666665,0,0,0.28684483057905447
27,110000,0.924,0,0,0.22647061942113353
50,370000,0.016467567567567568,0,0,0.13019195478160567
27,100000,1.0,2,0,0.4003619760288182
35,90000,0.8012444444444444,1,0,0.42865461222779544
22,50000,0.5608,0,0,0.34046870898369824
37,270000,0.1396111111111111,0,0,0.13389728239952076
30,300000,0.0022933333333333334,0,0,0.2793964615421994
22,50000,0.17134,0,0,0.3003171890557764
24,50000,-0.01418,1,1,0.655454242704624
29,360000,0.0,1,0,0.5600520539225674
56,130000,0.4970538461538462,6,1,0.8680055750027468
30,80000,0.0773375,0,0,0.3547926386937856
30,50000,0.9772,3,0,0.6834731712046215
22,20000,0.80005,0,0,0.4117454801947262
29,80000,0.9735375,1,0,0.37678440465652485
37,240000,0.050883333333333336,1,0,0.26817215890378565
35,80000,0.6201,0,0,0.18598779746966973
47,500000,0.112844,0,0,0.08915444303707686
24,60000,0.9670666666666666,0,1,0.45741553570320753
25,20000,0.5321,0,0,0.38670323313821997
38,100000,0.14483,3,1,0.7181238980987301
32,360000,0.007266666666666667,1,0,0.1910533711382466
47,200000,0.99718,6,1,0.8591705481529432
34,130000,0.0,1,0,0.32232156666574097
31,20000,1.0,6,0,0.6829882503584401
32,310000,0.1932290322580645,0,0,0.1032460926695249
27,60000,0.32708333333333334,2,1,0.8462124450506496
29,180000,0.06325555555555555,0,0,0.28741223831455887
24,180000,0.0815,1,0,0.3605882341301948
36,50000,0.9558,0,0,0.32965233387211484
24,50000,0.72332,6,1,0.8260007203973758
34,150000,0.0,0,0,0.3921143894670676
22,20000,0.92765,0,0,0.3424484671448694
34,500000,0.000824,0,0,0.33501317289866633
22,30000,0.967,3,1,0.7708151535183871
38,180000,0.004166666666666667,0,0,0.37771572501100986
31,140000,0.1937357142857143,2,0,0.358948022590638
26,140000,0.09588571428571428,0,0,0.16196602167912622
26,120000,0.8942833333333333,0,0,0.23250657907000424
48,360000,0.6289722222222223,0,0,0.2134132897545253
43,20000,0.01135,0,0,0.27106742164950637
47,100000,0.0039,0,0,0.47492691347843646
41,210000,0.014704761904761905,0,1,0.3892075121141671
24,80000,1.0,0,1,0.3505671354154362
50,330000,0.026884848484848484,0,0,0.2461377268975861
24,220000,0.48003181818181817,0,0,0.18942447172079782
38,210000,0.0,1,1,0.5036656361421369
43,40000,0.956425,0,0,0.3864072137803916
39,30000,0.9449,1,0,0.46171414273295214
27,470000,0.6310063829787234,4,0,0.7178918828619054
42,30000,0.013,1,0,0.5240782500946409
36,240000,-0.003941666666666666,1,1,0.6134435138539205
36,80000,0.990975,1,0,0.8510926208349378
31,110000,0.8180818181818181,0,0,0.19101702482952113
38,310000,0.004593548387096774,0,0,0.36919694676133574
40,360000,0.29213055555555556,3,1,0.8321428421478
45,330000,1.0,0,0,0.35578602023065287
35,300000,0.9720633333333333,0,0,0.24435262165893845
33,320000,0.286415625,0,0,0.10890930550379849
37,50000,1.0,3,1,0.7349236702300836
28,170000,0.7668823529411765,0,0,0.159960630707538
44,350000,0.009328571428571429,0,0,0.36281950086784415
37,20000,0.82275,0,0,0.3364492487463125
23,50000,0.99516,1,1,0.8614125855401847
24,20000,0.9577,2,0,0.658970493163762
24,50000,0.70168,0,0,0.29351006292379583
23,20000,1.0,3,1,0.7312494804549083
26,50000,1.0,0,0,0.23405640131359598
34,190000,0.6831631578947368,3,1,0.8635700617667318
33,60000,0.97005,0,0,0.39064866118606967
35,80000,0.09985,0,0,0.22954661661319395
27,150000,0.8493466666666667,0,0,0.23654036551819518
31,210000,0.006857142857142857,0,0,0.2567782606844507
50,240000,0.9758541666666667,0,1,0.30989037954460347
41,140000,0.13818571428571427,0,1,0.17737139493575838
28,60000,0.35835,3,0,0.6393850115386843
39,50000,0.94348,0,0,0.3441950974850638
27,50000,0.5331,0,0,0.30456980778904774
32,180000,0.01743888888888889,2,0,0.49217099057419633
40,30000,0.004733333333333333,4,0,0.5679087390259543
40,20000,0.9908,0,0,0.3599434268288767
75,250000,0.211496,0,0,0.24808371760179818
27,100000,0.37767,0,0,0.21546748382774988
25,330000,0.1398181818181818,1,0,0.31372086578821406
46,50000,0.71426,0,0,0.33994420383204543
26,50000,1.0,3,0,0.7410086341662564
28,30000,0.9747333333333333,0,0,0.3565843840204809
26,140000,0.7253642857142857,0,1,0.19465777666678397
28,160000,0.43901875,0,0,0.14106115583557946
29,400000,0.04883,0,0,0.20220746281588514
25,50000,0.55398,0,0,0.3463886220635522
48,140000,0.008242857142857142,0,0,0.34894377661826026
33,160000,0.05009375,0,0,0.2113183232949897
43,100000,0.6217,0,0,0.30742581395713414
48,220000,0.9562727272727273,1,1,0.8630723266315521
29,510000,0.15359019607843138,0,0,0.10210481484973791
29,50000,0.98552,0,0,0.36482955827074626
38,160000,0.02795625,1,0,0.30633011038576846
37,230000,0.00992608695652174,0,0,0.25822343739130493
37,80000,0.1264375,0,0,0.24819468470452372
25,150000,0.04104,0,0,0.4097095497458742
23,10000,0.6974,1,0,0.6125504536175084
49,130000,0.6846384615384615,0,1,0.33127434904049424
48,40000,0.871775,0,0,0.36054857586362987
27,50000,0.27388,3,1,0.8757942744096044
32,100000,0.70003,0,0,0.2537394393332255
34,120000,0.009016666666666666,1,0,0.5729551694816536
58,260000,0.0,1,1,0.7549356614417638
33,200000,0.056265,0,0,0.19919533003518525
28,360000,0.0,0,1,0.5790794580952717
36,70000,0.9814142857142857,0,0,0.2748744389172684
40,460000,0.0003717391304347826,1,1,0.6258712259885896
26,50000,0.02312,0,0,0.48518363123325037
33,50000,1.0,0,0,0.3704913844705271
31,250000,0.412436,0,0,0.13255135939170037
27,30000,0.0504,0,0,0.4320682983107977
44,270000,0.47238148148148146,0,0,0.12729059277592777
30,180000,0.91075,0,0,0.2841849058561056
28,100000,0.53494,0,0,0.16221352205072054
32,230000,0.8483739130434783,0,0,0.2045536978676631
46,210000,0.5254571428571428,0,0,0.12380854795780108
38,210000,0.2881047619047619,1,0,0.8310823898252275
46,440000,0.41054772727272726,0,0,0.15929768025160346
25,100000,0.70896,1,1,0.8544767901636965
46,240000,0.0364625,0,0,0.2596127839574337
33,280000,0.003207142857142857,0,1,0.4406246892000371
22,50000,0.0,1,1,0.6604762792203179
43,30000,0.056666666666666664,6,0,0.7823431185135448
27,10000,0.7015,1,1,0.6764432643377702
29,130000,0.0,1,0,0.5912465001749542
31,200000,0.971765,0,0,0.274877783571315
29,120000,0.01405,0,0,0.3304915578910005
36,210000,0.6820238095238095,0,0,0.17020371540498855
36,280000,0.21065357142857144,0,0,0.1321587843602647
34,300000,0.0,1,1,0.614402722760523
37,100000,0.99209,0,0,0.35738257636902465
36,440000,0.0,0,0,0.49557462791872714
40,50000,0.99882,0,0,0.38757275281071557
25,20000,0.5984,1,1,0.6427814174082681
27,200000,0.004355,0,0,0.33305184144309086
26,110000,0.003927272727272727,0,0,0.3262497116677821
